Gapped Array Output
Linear Model	y=1x + 0
Min Key:	-6.853212	Max Key:	4999.707304
Array in order:	0
Bitset:		1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000011100000000010000100111001000000010001101010000100001011111111111111101100000010000000010000100111100110001010000010110000110000010101011110100000100111000011110000101010010110000000011011101001011110000000001100011101111001101000010001000001001111111111111111111111111111111100111111000110000010000000000000000000000010000000101100000010010000101000011001000001010011000000100000011111111001100100100100000001000011010111001111001000000111111110101111100000000010001110011000111000011110111001000111111111000000001011000000000000101001110100111001111111110000000000000000000000000000100000010000000110000001000000101010001000100010000110001011000010110010100100100100010011100111100000010110000000110100001010101100000000000000000001100100001011010111000010000001111111111000000010111000001000000010111110001110110001100101011000001111101000100010000000010000000100010000111100011100000000100001011111001100000000010011100000000000000100001101100100111111001101000000010010100011010100100000011110000011101111011111011100001011111111001000000000100000011000010100000010000000000010000111110000001111111111111111110011001000000000001001110100000111100000000001010000100010110000010100010111110010000000000000110100111110111100110000010010110011000010011011011000011100100100111011010000101101111100000001100000011011010000000110000000000101000100000010011111111100111111100000000001000111011111000000011111111000000000010011111000000000000000001100011000001011000110000001111111111110100101101010011110011111111110000000000000010101100101001011010111101001111110000001000000010000101001000011100111111110000001110010101101001000001111111000000000000000001111000001110010000111000000000000011000110001110000110110000010100000001000011100100011000000111110100100101000000001010011100111110000110111110000000111111111111111000001110011110111111111111100010101001110000010000010000001011111111111111000000000001111111100001001000000100110010000000000001100011001001011001001001100110101111111001000111001110000000000010101111000000010000010101111111001110000100101011111110000000011111111000000011000001100010011111000000000010000010001100000000011111000110000100000011010101000000010010000000000000011000001001011100000011100001100011111110010010001000100100000011100011000101111100000000000000000000001000001010000001001001011000010100100001110100010010001011110100101011100000000010100110010100111001010011000000011100100011011111111111111010100101000000000001000000001010001001000001000001001100001110101110100100010110000011001101010100000000000101000000010000001001111110000000010000001111111111111111111111000000000000010000000010101000010010000000000100000000000000000110100010000100000011111111111100100110101100000000010011000000000100000010001101000000001011110100000000010011110111111111111011101000000100000000011100001111101101000010010001000110000001001000001111110110001100110100000111111111111111111111111111111111111110111100001000000100000010000001110000110010000000100000111111100000000000000100000001000001100010000100000001100011001110000010000001011111100100000101111111010101101000001100001000110000000000011110100011110000100001000000111001111100000010000010000001000100010111111000000100100001100110010000010100001000010000001001010000000100011000000110010000000000100001101111100001011110011010000000000000000111100011111010011011100010000100010100110101110011111111110111000100100000010000100001110100110110011110000001111110000011100111111111
Position 0	-6.853212	BitPos=1	
Position 1	-2.528622	BitPos=1	
Position 2	-1.994501	BitPos=1	
Position 3	0.000000	BitPos=1	
Position 4	1.087157	BitPos=1	
Position 5	2.707388	BitPos=1	
Position 6	4.120347	BitPos=1	
Position 7	5.036038	BitPos=1	
Position 8	6.944230	BitPos=1	
Position 9	6.944230	BitPos=0	
Position 10	6.944230	BitPos=0	
Position 11	10.148865	BitPos=1	
Position 12	10.470859	BitPos=1	
Position 13	11.339339	BitPos=1	
Position 14	11.339339	BitPos=0	
Position 15	11.339339	BitPos=0	
Position 16	11.339339	BitPos=0	
Position 17	11.339339	BitPos=0	
Position 18	11.339339	BitPos=0	
Position 19	19.256992	BitPos=1	
Position 20	19.927810	BitPos=1	
Position 21	20.127847	BitPos=1	
Position 22	21.911369	BitPos=1	
Position 23	22.041331	BitPos=1	
Position 24	22.774794	BitPos=1	
Position 25	22.774794	BitPos=0	
Position 26	22.774794	BitPos=0	
Position 27	22.774794	BitPos=0	
Position 28	22.774794	BitPos=0	
Position 29	22.774794	BitPos=0	
Position 30	22.774794	BitPos=0	
Position 31	30.550498	BitPos=1	
Position 32	31.655371	BitPos=1	
Position 33	31.704598	BitPos=1	
Position 34	33.098816	BitPos=1	
Position 35	33.098816	BitPos=0	
Position 36	33.098816	BitPos=0	
Position 37	36.951267	BitPos=1	
Position 38	37.001518	BitPos=1	
Position 39	37.001518	BitPos=0	
Position 40	39.698292	BitPos=1	
Position 41	40.675207	BitPos=1	
Position 42	40.675207	BitPos=0	
Position 43	40.675207	BitPos=0	
Position 44	43.500551	BitPos=1	
Position 45	43.500551	BitPos=0	
Position 46	45.233150	BitPos=1	
Position 47	45.384050	BitPos=1	
Position 48	46.074858	BitPos=1	
Position 49	46.074858	BitPos=0	
Position 50	46.074858	BitPos=0	
Position 51	46.074858	BitPos=0	
Position 52	46.074858	BitPos=0	
Position 53	52.819405	BitPos=1	
Position 54	52.819405	BitPos=0	
Position 55	52.819405	BitPos=0	
